,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
188,0.468,0.391,2,-13.196,0,0.0269,0.658,0.0617,0.111,0.342,142.413,audio_features,1ChYuSIoOFDVY6fHSXF6zS,spotify:track:1ChYuSIoOFDVY6fHSXF6zS,https://api.spotify.com/v1/tracks/1ChYuSIoOFDVY6fHSXF6zS,https://api.spotify.com/v1/audio-analysis/1ChYuSIoOFDVY6fHSXF6zS,550493,4
189,0.487,0.535,8,-8.47,0,0.0305,0.73,0.00414,0.0903,0.591,144.548,audio_features,1duGF26RKaTntfsJ0cTkzj,spotify:track:1duGF26RKaTntfsJ0cTkzj,https://api.spotify.com/v1/tracks/1duGF26RKaTntfsJ0cTkzj,https://api.spotify.com/v1/audio-analysis/1duGF26RKaTntfsJ0cTkzj,379000,3
190,0.67,0.365,0,-10.158,1,0.0564,0.525,0.0,0.0575,0.45,119.344,audio_features,2dR5WkrpwylTuT3jRWNufa,spotify:track:2dR5WkrpwylTuT3jRWNufa,https://api.spotify.com/v1/tracks/2dR5WkrpwylTuT3jRWNufa,https://api.spotify.com/v1/audio-analysis/2dR5WkrpwylTuT3jRWNufa,147147,4
191,0.412,0.434,0,-13.3,1,0.0483,0.509,0.00735,0.24,0.505,94.84,audio_features,12cMYRYTV2RTz4YTlOpgSu,spotify:track:12cMYRYTV2RTz4YTlOpgSu,https://api.spotify.com/v1/tracks/12cMYRYTV2RTz4YTlOpgSu,https://api.spotify.com/v1/audio-analysis/12cMYRYTV2RTz4YTlOpgSu,339067,4
192,0.59,0.485,0,-5.262,0,0.197,0.81,0.0,0.281,0.695,148.851,audio_features,0KDn1UsD2ym34dCT4P9ebj,spotify:track:0KDn1UsD2ym34dCT4P9ebj,https://api.spotify.com/v1/tracks/0KDn1UsD2ym34dCT4P9ebj,https://api.spotify.com/v1/audio-analysis/0KDn1UsD2ym34dCT4P9ebj,147667,4
193,0.539,0.403,8,-9.168,1,0.0531,0.794,0.000613,0.278,0.699,165.301,audio_features,2BhU0Hl5OatWiCW93pE2b8,spotify:track:2BhU0Hl5OatWiCW93pE2b8,https://api.spotify.com/v1/tracks/2BhU0Hl5OatWiCW93pE2b8,https://api.spotify.com/v1/audio-analysis/2BhU0Hl5OatWiCW93pE2b8,342333,4
194,0.665,0.359,1,-8.887,1,0.0326,0.801,0.106,0.145,0.4,111.639,audio_features,3Ysj0cl3Jlb6Ysp6um8QI7,spotify:track:3Ysj0cl3Jlb6Ysp6um8QI7,https://api.spotify.com/v1/tracks/3Ysj0cl3Jlb6Ysp6um8QI7,https://api.spotify.com/v1/audio-analysis/3Ysj0cl3Jlb6Ysp6um8QI7,368747,4
195,0.355,0.0304,1,-20.479,1,0.0361,0.989,0.0555,0.116,0.188,90.495,audio_features,4smkJW6uzoHxGReZqqwHS5,spotify:track:4smkJW6uzoHxGReZqqwHS5,https://api.spotify.com/v1/tracks/4smkJW6uzoHxGReZqqwHS5,https://api.spotify.com/v1/audio-analysis/4smkJW6uzoHxGReZqqwHS5,211533,3
196,0.575,0.187,0,-13.081,0,0.0513,0.927,0.876,0.166,0.342,107.469,audio_features,4ow1XH4hwe3yOGXG2eTTTY,spotify:track:4ow1XH4hwe3yOGXG2eTTTY,https://api.spotify.com/v1/tracks/4ow1XH4hwe3yOGXG2eTTTY,https://api.spotify.com/v1/audio-analysis/4ow1XH4hwe3yOGXG2eTTTY,525613,4
197,0.488,0.337,5,-10.185,0,0.0463,0.851,2.12e-05,0.126,0.471,133.27,audio_features,2Ef24NcyyZAMngL4uQd3xC,spotify:track:2Ef24NcyyZAMngL4uQd3xC,https://api.spotify.com/v1/tracks/2Ef24NcyyZAMngL4uQd3xC,https://api.spotify.com/v1/audio-analysis/2Ef24NcyyZAMngL4uQd3xC,181653,4
198,0.419,0.296,6,-14.721,1,0.0308,0.914,0.927,0.193,0.121,111.452,audio_features,7tQ7e28gdQNhLcIbqc1PXY,spotify:track:7tQ7e28gdQNhLcIbqc1PXY,https://api.spotify.com/v1/tracks/7tQ7e28gdQNhLcIbqc1PXY,https://api.spotify.com/v1/audio-analysis/7tQ7e28gdQNhLcIbqc1PXY,498107,4
199,0.742,0.671,5,-8.142,0,0.0407,0.794,0.00441,0.122,0.591,127.359,audio_features,1CDBaGlisZlOJzvx88lL8A,spotify:track:1CDBaGlisZlOJzvx88lL8A,https://api.spotify.com/v1/tracks/1CDBaGlisZlOJzvx88lL8A,https://api.spotify.com/v1/audio-analysis/1CDBaGlisZlOJzvx88lL8A,438280,4
200,0.427,0.114,2,-22.546,0,0.0509,0.843,0.863,0.0966,0.114,60.484,audio_features,1J9iVCaEriyoMXpj2XszhU,spotify:track:1J9iVCaEriyoMXpj2XszhU,https://api.spotify.com/v1/tracks/1J9iVCaEriyoMXpj2XszhU,https://api.spotify.com/v1/audio-analysis/1J9iVCaEriyoMXpj2XszhU,282320,4
201,0.492,0.205,9,-8.488,0,0.0577,0.983,0.893,0.122,0.109,128.315,audio_features,6TAW00MAPvS59yEoIgtOEI,spotify:track:6TAW00MAPvS59yEoIgtOEI,https://api.spotify.com/v1/tracks/6TAW00MAPvS59yEoIgtOEI,https://api.spotify.com/v1/audio-analysis/6TAW00MAPvS59yEoIgtOEI,310055,4
202,0.632,0.202,2,-13.068,0,0.0587,0.766,0.0,0.146,0.488,134.298,audio_features,3MRu7wA7ziRNf2cZr9gqtb,spotify:track:3MRu7wA7ziRNf2cZr9gqtb,https://api.spotify.com/v1/tracks/3MRu7wA7ziRNf2cZr9gqtb,https://api.spotify.com/v1/audio-analysis/3MRu7wA7ziRNf2cZr9gqtb,228067,3
203,0.578,0.566,0,-8.733,1,0.0531,0.755,0.537,0.0987,0.83,125.03,audio_features,7kDlGHJVjuMGVZWNDlH9Ru,spotify:track:7kDlGHJVjuMGVZWNDlH9Ru,https://api.spotify.com/v1/tracks/7kDlGHJVjuMGVZWNDlH9Ru,https://api.spotify.com/v1/audio-analysis/7kDlGHJVjuMGVZWNDlH9Ru,281987,4
204,0.612,0.493,5,-8.589,0,0.0467,0.804,0.266,0.202,0.484,126.358,audio_features,4Vkk3iD1VrENHJEACNddvt,spotify:track:4Vkk3iD1VrENHJEACNddvt,https://api.spotify.com/v1/tracks/4Vkk3iD1VrENHJEACNddvt,https://api.spotify.com/v1/audio-analysis/4Vkk3iD1VrENHJEACNddvt,570720,4
205,0.583,0.376,6,-10.914,1,0.0433,0.725,0.251,0.0642,0.614,120.713,audio_features,3Y0LpU5kqQ3vSZvwcGjl1M,spotify:track:3Y0LpU5kqQ3vSZvwcGjl1M,https://api.spotify.com/v1/tracks/3Y0LpU5kqQ3vSZvwcGjl1M,https://api.spotify.com/v1/audio-analysis/3Y0LpU5kqQ3vSZvwcGjl1M,217373,4
