,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
5,0.872,0.665,0,-6.556,0,0.121,0.187,0.0,0.0817,0.897,110.02,audio_features,5V0l4DBUYwNr8ETXqf1Yod,spotify:track:5V0l4DBUYwNr8ETXqf1Yod,https://api.spotify.com/v1/tracks/5V0l4DBUYwNr8ETXqf1Yod,https://api.spotify.com/v1/audio-analysis/5V0l4DBUYwNr8ETXqf1Yod,191673,4
6,0.854,0.367,3,-14.477,0,0.328,0.421,7.73e-05,0.0903,0.349,99.98,audio_features,74utdoJDUGLIMlrSS6jHlU,spotify:track:74utdoJDUGLIMlrSS6jHlU,https://api.spotify.com/v1/tracks/74utdoJDUGLIMlrSS6jHlU,https://api.spotify.com/v1/audio-analysis/74utdoJDUGLIMlrSS6jHlU,196206,4
7,0.812,0.618,9,-6.621,0,0.0656,0.0372,0.0,0.142,0.387,115.028,audio_features,3JFB9ZJ8vZrKL8AJiRspLZ,spotify:track:3JFB9ZJ8vZrKL8AJiRspLZ,https://api.spotify.com/v1/tracks/3JFB9ZJ8vZrKL8AJiRspLZ,https://api.spotify.com/v1/audio-analysis/3JFB9ZJ8vZrKL8AJiRspLZ,176407,4
8,0.531,0.65,1,-10.228,0,0.148,0.0774,0.0041,0.0991,0.422,112.012,audio_features,5NcTOxzo2WE20tFdtUhbAM,spotify:track:5NcTOxzo2WE20tFdtUhbAM,https://api.spotify.com/v1/tracks/5NcTOxzo2WE20tFdtUhbAM,https://api.spotify.com/v1/audio-analysis/5NcTOxzo2WE20tFdtUhbAM,156501,4
9,0.765,0.591,7,-9.773,1,0.438,0.386,0.0,0.117,0.367,97.963,audio_features,0B6AYBv6KlwUwHtAIj9lzF,spotify:track:0B6AYBv6KlwUwHtAIj9lzF,https://api.spotify.com/v1/tracks/0B6AYBv6KlwUwHtAIj9lzF,https://api.spotify.com/v1/audio-analysis/0B6AYBv6KlwUwHtAIj9lzF,177551,4
10,0.747,0.465,1,-14.081,1,0.355,0.612,0.0,0.113,0.616,143.068,audio_features,641KAqGlHS7CH0wCrhh0Ir,spotify:track:641KAqGlHS7CH0wCrhh0Ir,https://api.spotify.com/v1/tracks/641KAqGlHS7CH0wCrhh0Ir,https://api.spotify.com/v1/audio-analysis/641KAqGlHS7CH0wCrhh0Ir,161541,4
11,0.444,0.5,1,-7.706,0,0.0666,0.804,2.05e-06,0.108,0.271,147.757,audio_features,5hiQSNo6jQbQ2m2gBZs7bU,spotify:track:5hiQSNo6jQbQ2m2gBZs7bU,https://api.spotify.com/v1/tracks/5hiQSNo6jQbQ2m2gBZs7bU,https://api.spotify.com/v1/audio-analysis/5hiQSNo6jQbQ2m2gBZs7bU,195598,4
12,0.702,0.447,4,-12.074,0,0.633,0.208,9.7e-05,0.0944,0.697,125.16,audio_features,29AFznq7V8b5C5w5fAaQTx,spotify:track:29AFznq7V8b5C5w5fAaQTx,https://api.spotify.com/v1/tracks/29AFznq7V8b5C5w5fAaQTx,https://api.spotify.com/v1/audio-analysis/29AFznq7V8b5C5w5fAaQTx,218725,4
13,0.753,0.504,7,-10.196,0,0.132,0.666,1.88e-05,0.121,0.299,107.064,audio_features,3OFejsaM3NDkclJg3rjWI2,spotify:track:3OFejsaM3NDkclJg3rjWI2,https://api.spotify.com/v1/tracks/3OFejsaM3NDkclJg3rjWI2,https://api.spotify.com/v1/audio-analysis/3OFejsaM3NDkclJg3rjWI2,209994,4
14,0.867,0.812,9,-4.373,1,0.135,0.127,0.0,0.157,0.734,115.042,audio_features,06h6dQDVdXjnIOXGXabW02,spotify:track:06h6dQDVdXjnIOXGXabW02,https://api.spotify.com/v1/tracks/06h6dQDVdXjnIOXGXabW02,https://api.spotify.com/v1/audio-analysis/06h6dQDVdXjnIOXGXabW02,110353,4
