,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,duration_ms,time_signature,label
89,0.597,0.92,0,-5.933,1,0.0581,0.0368,7.56e-06,0.0837,0.74,122.417,1OwcckpLpQLDrAkBKYLEAX,spotify:track:1OwcckpLpQLDrAkBKYLEAX,259067,4,metal
90,0.247,0.963,4,-6.539,0,0.103,0.00249,0.0241,0.0589,0.572,176.364,4JrvsfwMdWJyEbV0DDZTtd,spotify:track:4JrvsfwMdWJyEbV0DDZTtd,225227,4,metal
91,0.357,0.828,4,-12.136,0,0.0482,0.00151,0.000527,0.345,0.624,107.126,1aVChMRP6I3ViAIlnW3WYS,spotify:track:1aVChMRP6I3ViAIlnW3WYS,283227,4,metal
92,0.211,0.972,10,-3.755,0,0.188,0.00323,7.31e-06,0.573,0.202,143.75,4HzTfjtuIe4YM01bt3l6Jf,spotify:track:4HzTfjtuIe4YM01bt3l6Jf,187800,4,metal
93,0.347,0.939,2,-9.239,1,0.0648,8.89e-05,3.81e-05,0.232,0.356,89.401,3lJqE5AKrrFDFdhDyB0kqx,spotify:track:3lJqE5AKrrFDFdhDyB0kqx,200333,4,metal
94,0.649,0.909,6,-6.988,0,0.0729,3.63e-05,0.469,0.0787,0.623,131.919,2tjb6V24kf6sDUdEFNf3m9,spotify:track:2tjb6V24kf6sDUdEFNf3m9,230560,4,metal
95,0.434,0.92,2,-14.802,1,0.0919,5.4e-05,0.397,0.379,0.175,139.803,1zFarlqzxsE9I3QiwrdwJN,spotify:track:1zFarlqzxsE9I3QiwrdwJN,229867,4,metal
96,0.391,0.991,1,-5.934,0,0.0759,8.82e-05,0.0687,0.0803,0.236,149.863,6v3UX3KGvhYwphqipOO84l,spotify:track:6v3UX3KGvhYwphqipOO84l,341000,4,metal
97,0.716,0.821,7,-4.204,1,0.0389,0.551,5.68e-06,0.618,0.931,120.737,4N4guy1faBG6oseDnhjkWy,spotify:track:4N4guy1faBG6oseDnhjkWy,197867,4,metal
98,0.433,0.644,9,-8.054,0,0.0381,0.000374,0.000357,0.117,0.323,91.773,3SvTwrxQJyGJkeoPDbuNcu,spotify:track:3SvTwrxQJyGJkeoPDbuNcu,394667,4,metal
