,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,duration_ms,time_signature,label,popularity,artist_followers
10,0.44,0.0492,1,-15.265,1,0.038,0.98,0.0253,0.0936,0.185,111.462,1lk5RIC2NMUMLgyOVMSCKs,spotify:track:1lk5RIC2NMUMLgyOVMSCKs,178960,4,jazz,55,183834
13,0.431,0.0284,3,-17.673,1,0.0377,0.977,8.59e-06,0.224,0.109,141.494,3mADbrwcu80uRhrgrAaPTz,spotify:track:3mADbrwcu80uRhrgrAaPTz,174280,4,jazz,48,742742
14,0.492,0.195,2,-14.387,1,0.0272,0.94,0.0108,0.108,0.161,89.777,3q634ZiAdA9bcg135bdJxo,spotify:track:3q634ZiAdA9bcg135bdJxo,232280,4,jazz,55,88504
15,0.587,0.279,1,-10.186,1,0.0356,0.85,0.000641,0.0646,0.418,76.111,6GtJqo0vr7DqWOHQtp77cV,spotify:track:6GtJqo0vr7DqWOHQtp77cV,271333,4,jazz,51,2527089
16,0.432,0.214,5,-13.655,0,0.0539,0.886,5.83e-06,0.0933,0.274,204.426,0rXZu998CXslEpwhxdHzeu,spotify:track:0rXZu998CXslEpwhxdHzeu,266733,3,jazz,50,1362008
17,0.58,0.0545,9,-14.594,0,0.0473,0.963,0.000265,0.0967,0.177,123.341,6crfO56bDm0RjpctUuGs5X,spotify:track:6crfO56bDm0RjpctUuGs5X,149827,4,jazz,60,382963
19,0.263,0.166,1,-15.047,1,0.033,0.947,6.71e-05,0.157,0.146,98.659,6k8VkbcU1CrMM2jbWfRF6O,spotify:track:6k8VkbcU1CrMM2jbWfRF6O,218067,5,jazz,43,1867623
20,0.586,0.0652,0,-16.049,1,0.0389,0.791,0.0,0.162,0.54,119.287,65O89M7GMB8pA88VyxxJm7,spotify:track:65O89M7GMB8pA88VyxxJm7,104360,4,jazz,45,2197647
22,0.387,0.0546,0,-17.244,0,0.0327,0.945,8.34e-05,0.1,0.181,105.439,3qo1rizHmEmLPZbCwYSiKX,spotify:track:3qo1rizHmEmLPZbCwYSiKX,229227,4,jazz,46,63081
23,0.274,0.348,5,-8.631,1,0.0293,0.547,0.0133,0.334,0.328,87.43,4Hhv2vrOTy89HFRcjU3QOx,spotify:track:4Hhv2vrOTy89HFRcjU3QOx,179693,3,jazz,74,1362008
24,0.159,0.269,0,-11.761,1,0.0319,0.799,4.12e-06,0.164,0.151,79.416,63tbczwYZv3Mctr064eQR4,spotify:track:63tbczwYZv3Mctr064eQR4,228693,4,jazz,50,1867623
25,0.546,0.418,3,-10.411,1,0.041,0.359,1.67e-06,0.124,0.69,101.211,1RcLTd97Z6CGEXuKxyornO,spotify:track:1RcLTd97Z6CGEXuKxyornO,167160,4,jazz,49,408959
26,0.295,0.207,7,-14.584,1,0.0381,0.745,1.5e-06,0.309,0.169,121.33,0q4svepUwk6ZDLZEQlhKQn,spotify:track:0q4svepUwk6ZDLZEQlhKQn,241733,3,jazz,40,5694330
27,0.491,0.0348,6,-15.628,1,0.0515,0.98,0.00258,0.131,0.117,114.341,2qf5Xr89ShgSu1up0xQmLt,spotify:track:2qf5Xr89ShgSu1up0xQmLt,191360,4,jazz,45,382963
28,0.184,0.292,7,-12.246,1,0.0312,0.878,0.000258,0.346,0.143,75.63,4y8icjzu6fZP503Mg31Tpn,spotify:track:4y8icjzu6fZP503Mg31Tpn,224227,4,jazz,48,2197647
29,0.337,0.125,0,-17.522,0,0.0374,0.8,1.66e-06,0.115,0.241,114.51,3SzFMhHBt7bw0eS35946N6,spotify:track:3SzFMhHBt7bw0eS35946N6,196960,4,jazz,41,2197647
30,0.634,0.304,0,-10.711,1,0.0522,0.789,4.82e-05,0.123,0.495,125.279,4x4gE6oHHuZ2y7yUsGuOO1,spotify:track:4x4gE6oHHuZ2y7yUsGuOO1,226680,3,jazz,48,1629467
31,0.347,0.0781,5,-17.693,1,0.037,0.859,0.0,0.247,0.227,79.614,0m4Ka878HsCzbypCAxLQWG,spotify:track:0m4Ka878HsCzbypCAxLQWG,161960,3,jazz,46,374902
32,0.285,0.00437,2,-33.386,0,0.0386,0.974,0.00305,0.0708,0.0992,176.012,1qJZMKfspF92mDSeQtkjb6,spotify:track:1qJZMKfspF92mDSeQtkjb6,216627,3,jazz,43,455962
33,0.188,0.0767,7,-24.695,1,0.037,0.85,0.000137,0.189,0.146,76.22,4YPYFUATiul0877A1HhSlW,spotify:track:4YPYFUATiul0877A1HhSlW,194040,3,jazz,51,1867623
34,0.497,0.379,7,-11.116,1,0.0494,0.703,2.23e-06,0.107,0.656,103.351,48QgQqeezCQCHKr009uAe6,spotify:track:48QgQqeezCQCHKr009uAe6,109813,4,jazz,38,455962
36,0.42,0.11,0,-17.699,1,0.0357,0.844,3.97e-05,0.0896,0.228,64.554,5JXIXRW1vXBgWvBqyUEHZg,spotify:track:5JXIXRW1vXBgWvBqyUEHZg,206987,4,jazz,41,48008
37,0.512,0.229,8,-11.569,1,0.0411,0.93,0.0,0.0955,0.478,95.571,2RnJD2mTBxqvHcqmXk1n9c,spotify:track:2RnJD2mTBxqvHcqmXk1n9c,184720,4,jazz,45,2197647
38,0.561,0.315,2,-10.179,1,0.0731,0.738,1.23e-06,0.0732,0.727,77.504,5QjNF4TMjF2E72D3nAIty6,spotify:track:5QjNF4TMjF2E72D3nAIty6,154627,4,jazz,0,1867623
39,0.399,0.258,5,-16.028,1,0.033,0.792,1.86e-06,0.128,0.192,108.174,1qCQTy0fTXerET4x8VHyr9,spotify:track:1qCQTy0fTXerET4x8VHyr9,137520,3,jazz,72,2527089
40,0.499,0.0341,8,-22.31,1,0.0417,0.923,5.27e-05,0.131,0.31,81.735,06UkYE0SZ3Y8zGRFOuWGAe,spotify:track:06UkYE0SZ3Y8zGRFOuWGAe,215467,4,jazz,58,861099
41,0.398,0.165,9,-14.197,0,0.0348,0.947,0.000322,0.237,0.133,70.739,5I6Z43PxKiAJv5qnJ7UYOb,spotify:track:5I6Z43PxKiAJv5qnJ7UYOb,219467,4,jazz,44,69031
42,0.487,0.0673,7,-17.227,0,0.0406,0.946,1.05e-05,0.123,0.21,114.554,0QpIXiEeziy7SYf85KH0z6,spotify:track:0QpIXiEeziy7SYf85KH0z6,194867,3,jazz,42,45340
43,0.505,0.321,7,-9.175,1,0.0599,0.968,0.382,0.0993,0.533,150.235,6Y8QG1S14e2o0Tx0rppi0V,spotify:track:6Y8QG1S14e2o0Tx0rppi0V,173920,4,jazz,45,1629467
44,0.43,0.0451,10,-17.989,1,0.0348,0.782,0.0,0.231,0.0608,139.808,2Ako7iEOscH89vNTr14djH,spotify:track:2Ako7iEOscH89vNTr14djH,362693,4,jazz,37,63081
45,0.27,0.343,7,-7.254,1,0.0358,0.88,0.0,0.187,0.409,76.424,5xztcbdIaombDndOibp9Su,spotify:track:5xztcbdIaombDndOibp9Su,188267,4,jazz,42,2197647
46,0.235,0.136,9,-18.374,0,0.0317,0.863,1.7e-05,0.127,0.22,79.693,4YZL8oBgTZrLYeAFHWuDJP,spotify:track:4YZL8oBgTZrLYeAFHWuDJP,209067,3,jazz,43,5694330
47,0.448,0.179,8,-15.584,1,0.0572,0.831,0.0,0.175,0.265,130.166,7EizYZzw8hTQQ6twxOvfWl,spotify:track:7EizYZzw8hTQQ6twxOvfWl,226973,5,jazz,40,1867623
48,0.374,0.0852,10,-21.29,0,0.0357,0.901,0.00806,0.106,0.158,75.706,7ByMl8ACN6rkAbN5c8T8BV,spotify:track:7ByMl8ACN6rkAbN5c8T8BV,339893,3,jazz,46,30244
49,0.407,0.17,10,-13.409,1,0.0341,0.76,0.0,0.0737,0.577,124.047,3x6wVKXfCm85Pw7gYo0rqq,spotify:track:3x6wVKXfCm85Pw7gYo0rqq,188267,4,jazz,54,1336297
50,0.621,0.127,10,-14.823,1,0.044,0.918,1.5e-06,0.131,0.329,81.415,3JrECZZVBiWeL9GJMMfzdj,spotify:track:3JrECZZVBiWeL9GJMMfzdj,162000,4,jazz,40,373967
