,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,duration_ms,time_signature,label
33,0.487,0.022,7,-32.282,1,0.035,0.986,0.894,0.137,0.191,67.836,61NVGsaU1YXShnv2nwdJ0s,spotify:track:61NVGsaU1YXShnv2nwdJ0s,277133,3,classic
34,0.309,0.0445,7,-27.95,0,0.0481,0.993,0.871,0.0825,0.182,87.36,675uoOAtz3TzuigX3Doe4h,spotify:track:675uoOAtz3TzuigX3Doe4h,271200,4,classic
35,0.357,0.0149,3,-32.65,1,0.0517,0.996,0.927,0.105,0.147,82.152,0atkoFwfqT5yYPf9e1YFrG,spotify:track:0atkoFwfqT5yYPf9e1YFrG,147655,3,classic
36,0.322,0.0558,2,-22.639,1,0.0501,0.992,0.936,0.0818,0.0707,85.068,4yExhO3Vh6bLW32qU4DOOs,spotify:track:4yExhO3Vh6bLW32qU4DOOs,346573,4,classic
37,0.224,0.00647,1,-28.522,1,0.0505,0.993,0.912,0.0798,0.0393,68.105,5gOiyasbWfppG7fkNI6Byl,spotify:track:5gOiyasbWfppG7fkNI6Byl,433933,4,classic
38,0.341,0.0151,11,-31.534,1,0.0435,0.995,0.901,0.0943,0.0606,135.173,1xrz9rJJPVENNP4l4Jvft4,spotify:track:1xrz9rJJPVENNP4l4Jvft4,369000,4,classic
39,0.329,0.0171,4,-30.374,1,0.0393,0.993,0.92,0.0904,0.127,65.054,7lO0GHKtEZKLZ0l32upmll,spotify:track:7lO0GHKtEZKLZ0l32upmll,287960,3,classic
40,0.315,0.0054,11,-26.582,0,0.047,0.984,0.938,0.0842,0.109,68.602,2lZ4IicfSIP3e1vwUZ4MQj,spotify:track:2lZ4IicfSIP3e1vwUZ4MQj,535187,3,classic
41,0.286,0.0028,8,-37.427,1,0.0462,0.995,0.912,0.127,0.123,67.505,4l5zWNPyET6PqBhxQEyKgt,spotify:track:4l5zWNPyET6PqBhxQEyKgt,324960,4,classic
42,0.242,0.00348,0,-32.938,0,0.0595,0.994,0.897,0.0736,0.0619,70.0,7F4LZFe1kAUEClacsL5KyA,spotify:track:7F4LZFe1kAUEClacsL5KyA,139707,3,classic
43,0.291,0.029,11,-30.769,1,0.0574,0.995,0.894,0.0833,0.0732,69.867,2czqg4YLVDdeDIvr8rYxyc,spotify:track:2czqg4YLVDdeDIvr8rYxyc,117627,3,classic
44,0.28,0.0385,10,-32.553,1,0.0482,0.995,0.85,0.0827,0.0926,99.631,1u7z1dbU39nz7LysjwU5uF,spotify:track:1u7z1dbU39nz7LysjwU5uF,223307,3,classic
45,0.334,0.00732,4,-30.908,0,0.0355,0.991,0.952,0.0968,0.0964,60.171,64LTn5fTsPR0QLy7bVYl9w,spotify:track:64LTn5fTsPR0QLy7bVYl9w,241987,4,classic
46,0.351,0.00622,0,-33.286,0,0.0388,0.994,0.943,0.115,0.0794,66.921,6cDytuMZ5Z4iMEhK65HiHL,spotify:track:6cDytuMZ5Z4iMEhK65HiHL,223067,4,classic
47,0.378,0.00553,4,-30.861,0,0.0759,0.995,0.946,0.0627,0.102,67.129,6StjE2hce01PzynfEkfKvo,spotify:track:6StjE2hce01PzynfEkfKvo,389280,5,classic
48,0.378,0.0154,5,-29.74,1,0.0445,0.993,0.917,0.0794,0.0746,131.073,6HNUntao7jCtKR2cGKgqn0,spotify:track:6HNUntao7jCtKR2cGKgqn0,329627,4,classic
49,0.321,0.0272,3,-25.066,1,0.037,0.993,0.919,0.0947,0.0632,74.69,4h4py9AzEuUGBTJZO4ifnm,spotify:track:4h4py9AzEuUGBTJZO4ifnm,221732,4,classic
