,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,duration_ms,time_signature,popularity,artist_followers
2,0.911,0.712,1,-5.105,0,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,6Sq7ltF9Qa7SNFBsV5Cogx,spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,178567,4,100,51639438
3,0.795,0.684,11,-3.971,0,0.0419,0.0225,0.0,0.658,0.419,114.011,41oY4WCTj5kccfesTVFnvN,spotify:track:41oY4WCTj5kccfesTVFnvN,237895,4,94,51639438
4,0.835,0.679,7,-5.329,0,0.0364,0.583,1.98e-06,0.218,0.85,124.98,5ww2BF9slyYgNOk37BlC4u,spotify:track:5ww2BF9slyYgNOk37BlC4u,162638,4,85,9887120
5,0.762,0.85,7,-5.303,1,0.141,0.154,0.000398,0.0474,0.747,105.444,4aYd4OvURiE7jrnkdbwk0t,spotify:track:4aYd4OvURiE7jrnkdbwk0t,178187,4,76,426025
6,0.782,0.655,6,-5.971,0,0.0566,0.377,0.00134,0.0749,0.662,135.018,6stWVqWxtPPednHy1mzoOz,spotify:track:6stWVqWxtPPednHy1mzoOz,175556,4,82,275868
7,0.695,0.636,5,-4.654,1,0.317,0.234,0.0,0.081,0.575,174.14,2rurDawMfoKP4uHyb2kJBt,spotify:track:2rurDawMfoKP4uHyb2kJBt,172235,4,94,24166567
8,0.82,0.752,1,-7.635,0,0.0648,0.0584,0.00417,0.628,0.423,127.999,4hceSKjrkDTO0nMKFcb3sj,spotify:track:4hceSKjrkDTO0nMKFcb3sj,187500,4,88,5952347
9,0.647,0.686,3,-5.745,0,0.0413,0.08,1.34e-06,0.528,0.268,79.928,3k3NWokhRRkEPhCzPmV8TW,spotify:track:3k3NWokhRRkEPhCzPmV8TW,258299,4,98,51639438
10,0.795,0.845,9,-3.809,0,0.135,0.105,1.14e-05,0.172,0.769,170.023,6DoL1yYIwEW7VZMRaJhoJI,spotify:track:6DoL1yYIwEW7VZMRaJhoJI,254920,4,89,1900940
11,0.87,0.516,1,-8.006,1,0.0541,0.656,0.00823,0.11,0.53,111.005,7dSZ6zGTQx66c2GF91xCrb,spotify:track:7dSZ6zGTQx66c2GF91xCrb,210200,4,95,26381312
12,0.804,0.674,5,-5.453,0,0.0333,0.294,1.18e-06,0.115,0.292,99.968,6Xom58OOXk2SoU711L2IXO,spotify:track:6Xom58OOXk2SoU711L2IXO,245940,4,97,51639438
13,0.656,0.823,1,-3.059,0,0.315,0.47,0.0,0.103,0.755,96.474,2Gq636OOGgxCTqEuzCZhsa,spotify:track:2Gq636OOGgxCTqEuzCZhsa,160000,4,85,5952347
14,0.771,0.707,2,-6.404,0,0.055,0.389,0.0,0.0745,0.317,127.963,2hLXUbsOU9cDb9RFva9FYr,spotify:track:2hLXUbsOU9cDb9RFva9FYr,228750,4,81,555515
15,0.802,0.846,1,-4.495,1,0.207,0.233,1.92e-05,0.114,0.26,109.982,0OTNHGKcqQbk51bOYe462Y,spotify:track:0OTNHGKcqQbk51bOYe462Y,227221,4,89,245577
16,0.712,0.557,4,-4.861,0,0.115,0.0397,0.0,0.27,0.594,170.079,2z9YkcLojiOE7Eu2p9lPZR,spotify:track:2z9YkcLojiOE7Eu2p9lPZR,171987,4,82,1641517
17,0.801,0.475,7,-8.797,0,0.0516,0.141,1.73e-05,0.0639,0.234,98.047,5Eax0qFko2dh7Rl2lYs3bx,spotify:track:5Eax0qFko2dh7Rl2lYs3bx,213061,4,97,51639438
18,0.917,0.776,9,-2.248,0,0.154,0.0464,5.54e-05,0.08,0.656,114.941,6t48UVZvQWh5wWfWlCZfzY,spotify:track:6t48UVZvQWh5wWfWlCZfzY,181987,4,76,743065
19,0.757,0.789,5,-3.46,0,0.0583,0.307,0.0,0.0717,0.464,91.911,5jt25aFjW2kNoBqaEVaz5W,spotify:track:5jt25aFjW2kNoBqaEVaz5W,202174,4,85,555515
20,0.827,0.819,6,-3.701,1,0.052,0.1,0.0,0.089,0.562,92.017,6ojZtz3sZr6ynvejLOqgCj,spotify:track:6ojZtz3sZr6ynvejLOqgCj,191087,4,85,2123551
21,0.746,0.844,11,-3.499,0,0.0359,0.062,0.0,0.149,0.934,123.014,6ylDpki1VpIsc525KC1ojF,spotify:track:6ylDpki1VpIsc525KC1ojF,189333,4,78,19469359
22,0.869,0.694,1,-3.35,0,0.0783,0.356,0.00125,0.0878,0.511,90.02,6mmPpaltUZK7xjNlBPQQ0p,spotify:track:6mmPpaltUZK7xjNlBPQQ0p,224997,4,85,12617977
23,0.692,0.75,0,-4.328,0,0.0411,0.145,0.0,0.133,0.443,120.037,5R2hNuiiwnKVAUNktF9j2Y,spotify:track:5R2hNuiiwnKVAUNktF9j2Y,154000,4,78,709393
25,0.827,0.541,11,-10.743,0,0.225,0.46,4.42e-05,0.0948,0.256,128.028,04d4GpLedinwpfctvgOIhY,spotify:track:04d4GpLedinwpfctvgOIhY,213647,4,78,253354
26,0.836,0.703,4,-3.554,0,0.0657,0.0845,0.0,0.138,0.902,94.048,7FlQk2gJ6TBrHHiidvdR2O,spotify:track:7FlQk2gJ6TBrHHiidvdR2O,226093,4,82,11827462
27,0.672,0.745,5,-5.269,0,0.3,0.438,9.29e-06,0.0699,0.739,173.974,0Bv7O6fmZk3GrNQFYJaXPn,spotify:track:0Bv7O6fmZk3GrNQFYJaXPn,413111,4,84,14355
28,0.707,0.572,1,-5.378,1,0.157,0.497,4.06e-06,0.126,0.456,98.003,4FjkjrvfbB3C4eUqWlw3vB,spotify:track:4FjkjrvfbB3C4eUqWlw3vB,168367,4,77,275868
29,0.705,0.526,6,-6.359,1,0.327,0.509,0.000106,0.0742,0.671,200.031,0TkIQ2I48rz4kpk1XpfyHq,spotify:track:0TkIQ2I48rz4kpk1XpfyHq,168000,4,79,275868
30,0.784,0.814,6,-2.436,1,0.0464,0.0559,0.0,0.194,0.728,129.96,0EpdLuptraYGFZ6J7HNSLc,spotify:track:0EpdLuptraYGFZ6J7HNSLc,165231,4,75,485345
31,0.748,0.761,2,-6.621,1,0.102,0.122,6.56e-06,0.0984,0.362,116.041,5TMLavqGRKNxgzMBrVpC9R,spotify:track:5TMLavqGRKNxgzMBrVpC9R,179940,4,86,64727
32,0.781,0.645,1,-4.136,0,0.0399,0.0903,1.58e-06,0.226,0.803,128.007,3nfICwo20uiFdEGzgNUSrG,spotify:track:3nfICwo20uiFdEGzgNUSrG,207333,4,79,2103269
33,0.682,0.708,6,-5.597,0,0.165,0.611,0.0328,0.0955,0.594,122.053,63ZedTAVRCICh2CNLWnsPZ,spotify:track:63ZedTAVRCICh2CNLWnsPZ,211456,4,78,453281
34,0.604,0.635,2,-4.499,0,0.419,0.508,0.0,0.107,0.484,134.672,0hhbgieI17DtGcjGRrtDDp,spotify:track:0hhbgieI17DtGcjGRrtDDp,179077,4,66,62835
35,0.812,0.925,5,-3.092,0,0.113,0.487,0.0,0.115,0.614,110.031,49ev1nUTrNxbjm04jaoL5Z,spotify:track:49ev1nUTrNxbjm04jaoL5Z,176727,4,73,6326267
36,0.745,0.687,2,-7.024,0,0.207,0.536,6.31e-05,0.127,0.752,145.182,42GxezaZ2IsakhDi6a3rsp,spotify:track:42GxezaZ2IsakhDi6a3rsp,162207,4,71,68675
37,0.854,0.556,1,-4.49,1,0.14,0.345,0.0,0.165,0.342,119.938,03a359wbiUsjN9h6yzXvmS,spotify:track:03a359wbiUsjN9h6yzXvmS,209531,4,81,6326267
38,0.564,0.903,5,-3.221,1,0.307,0.356,0.0,0.175,0.607,78.293,1dm6z1fWB0cErMszU25dy2,spotify:track:1dm6z1fWB0cErMszU25dy2,230400,4,92,51639438
39,0.859,0.553,9,-5.726,0,0.0456,0.628,0.00011,0.109,0.338,122.048,7kN7u1ZDOrNBKcEEGwGeDY,spotify:track:7kN7u1ZDOrNBKcEEGwGeDY,243934,4,72,2678158
40,0.83,0.739,7,-5.395,0,0.0627,0.136,2.11e-06,0.162,0.631,97.993,4srcMdbm2qzVG98tJajHxp,spotify:track:4srcMdbm2qzVG98tJajHxp,240413,4,86,21397
41,0.842,0.729,8,-4.404,1,0.0753,0.0991,6.71e-06,0.0695,0.96,89.978,6HXvazdtAr9hy0kThzxrE3,spotify:track:6HXvazdtAr9hy0kThzxrE3,164000,4,82,425755
43,0.728,0.814,1,-3.29,0,0.0571,0.125,0.00448,0.0927,0.594,104.962,3XREkzDHsWdBL5tybyCDBH,spotify:track:3XREkzDHsWdBL5tybyCDBH,176286,4,78,35754
44,0.796,0.68,10,-5.555,0,0.37,0.0575,0.000683,0.103,0.71,179.923,6y8z28epOv5FlaxDv1Lo5B,spotify:track:6y8z28epOv5FlaxDv1Lo5B,176143,4,85,869955
45,0.688,0.699,6,-5.358,0,0.0685,0.0473,0.0,0.513,0.689,90.017,4FtuqEWmjtgKmVWW0iZOP7,spotify:track:4FtuqEWmjtgKmVWW0iZOP7,157333,4,77,6326267
46,0.456,0.91,0,-2.659,1,0.136,0.256,0.0,0.0921,0.329,95.927,2uky0VCI2EZni0nArOPznM,spotify:track:2uky0VCI2EZni0nArOPznM,258542,4,84,5952347
47,0.659,0.629,4,-7.86,1,0.0825,0.716,0.0,0.422,0.416,118.964,4iaNmAvcZ6sPGvgZ6vQQdx,spotify:track:4iaNmAvcZ6sPGvgZ6vQQdx,149275,4,78,253354
48,0.789,0.837,10,-3.247,1,0.23,0.125,0.0,0.209,0.476,81.536,3UT2CkCgSWjK6h5v5Ye4GH,spotify:track:3UT2CkCgSWjK6h5v5Ye4GH,200337,4,73,6326267
49,0.685,0.909,3,-4.034,0,0.0396,0.0471,0.0,0.35,0.922,95.004,3XjN0mvFkQp1FMVM9Ro5hm,spotify:track:3XjN0mvFkQp1FMVM9Ro5hm,248769,4,83,28455008
1,0.686,0.494,1,-7.093,1,0.0355,0.613,5.8e-05,0.402,0.7,168.946,4k6Uh1HXdhtusDW5y8Gbvy,spotify:track:4k6Uh1HXdhtusDW5y8Gbvy,232067,4,62,1502078
4,0.44,0.317,8,-9.258,1,0.0531,0.891,4.78e-06,0.141,0.268,169.914,6xGruZOHLs39ZbVccQTuPZ,spotify:track:6xGruZOHLs39ZbVccQTuPZ,233456,3,99,6463452
5,0.529,0.673,0,-4.711,1,0.175,0.000307,2.41e-06,0.093,0.366,165.921,3F5CgOj3wFlRv51JsHbxhe,spotify:track:3F5CgOj3wFlRv51JsHbxhe,218365,4,93,65256293
7,0.836,0.743,10,-6.305,0,0.0653,0.0974,0.0,0.335,0.723,108.965,6HMtHNpW6YPi1hrw9tgF8P,spotify:track:6HMtHNpW6YPi1hrw9tgF8P,191938,4,58,4810826
8,0.801,0.601,8,-7.574,0,0.255,0.0777,3.23e-05,0.145,0.74,159.969,0hquQWY3xvYqN4qtiquniF,spotify:track:0hquQWY3xvYqN4qtiquniF,182907,4,90,20461667
9,0.733,0.67,5,-6.009,1,0.0751,0.121,0.0,0.121,0.472,100.964,0O6u0VJ46W86TxN9wgyqDj,spotify:track:0O6u0VJ46W86TxN9wgyqDj,192841,4,92,37542621
10,0.902,0.582,5,-5.902,0,0.109,0.111,3.18e-06,0.111,0.332,107.005,0wHFktze2PHC5jDt3B17DC,spotify:track:0wHFktze2PHC5jDt3B17DC,173948,4,84,2360174
11,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,02MWAaffLxlfxAUY7c5dvx,spotify:track:02MWAaffLxlfxAUY7c5dvx,238805,4,90,3076588
12,0.714,0.728,10,-4.595,1,0.0468,0.298,0.0,0.106,0.901,114.996,1qEmFfgcLObUfQm0j1W2CK,spotify:track:1qEmFfgcLObUfQm0j1W2CK,177955,4,94,22055551
13,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,4h9wh7iOZ0GGn8QVp4RAOB,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,148486,4,92,13964254
14,0.463,0.642,1,-4.474,1,0.34,0.314,0.0,0.0686,0.339,83.389,59nOXPmaKlBfGMDeOVGrIK,spotify:track:59nOXPmaKlBfGMDeOVGrIK,189893,4,91,11852067
15,0.543,0.836,4,-9.11,0,0.0353,0.000647,0.431,0.153,0.56,105.173,2MuWTIM3b0YEAskbeeFE1i,spotify:track:2MuWTIM3b0YEAskbeeFE1i,515387,4,84,21912076
18,0.723,0.772,1,-6.784,1,0.0792,0.00524,1.15e-05,0.367,0.58,102.004,4cacyP5c3PMlfnyjpg13xW,spotify:track:4cacyP5c3PMlfnyjpg13xW,146471,4,83,1362290
19,0.731,0.85,9,-4.913,1,0.0336,0.252,0.0,0.605,0.644,119.706,5uU1uuyaUIBOiiUSQG7Wl3,spotify:track:5uU1uuyaUIBOiiUSQG7Wl3,157478,4,84,3658864
21,0.768,0.714,10,-5.11,1,0.0401,0.352,0.0,0.15,0.842,131.443,4h4QlmocP3IuwYEj2j14p8,spotify:track:4h4QlmocP3IuwYEj2j14p8,163026,4,91,40604
22,0.829,0.799,9,-5.389,1,0.0897,0.0151,0.000543,0.242,0.471,97.013,4tYFy8ALRjIZvnvSLw5lxN,spotify:track:4tYFy8ALRjIZvnvSLw5lxN,227629,4,95,51639438
24,0.608,0.745,1,-4.13,1,0.0277,0.0226,6.47e-06,0.0942,0.464,102.025,48UKTR66uUOT9LaUvooTNx,spotify:track:48UKTR66uUOT9LaUvooTNx,224427,4,75,6870399
25,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,5PjdY0CKGZdEuoNab3yDmX,spotify:track:5PjdY0CKGZdEuoNab3yDmX,141806,4,88,3859132
26,0.687,0.887,1,-5.04,0,0.0826,0.0575,2.21e-06,0.27,0.853,114.941,2KukL7UlQ8TdvpaA7bY3ZJ,spotify:track:2KukL7UlQ8TdvpaA7bY3ZJ,278282,4,91,31748202
28,0.881,0.592,2,-4.898,1,0.0324,0.619,1.32e-05,0.0901,0.719,101.058,0mBP9X2gPCuapvpZ7TGDk3,spotify:track:0mBP9X2gPCuapvpZ7TGDk3,154487,4,94,16759937
29,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,3WMj8moIAXJhHsyLaqIIHI,spotify:track:3WMj8moIAXJhHsyLaqIIHI,228013,3,83,498577
30,0.586,0.525,1,-7.163,0,0.0615,0.111,0.0,0.134,0.508,133.629,2LBqCSwhJGcFQeTHMVGwy3,spotify:track:2LBqCSwhJGcFQeTHMVGwy3,260253,4,82,47150984
31,0.69,0.521,10,-8.492,0,0.339,0.324,0.0,0.0534,0.494,100.028,68Dni7IE4VyPkTOH9mRWHr,spotify:track:68Dni7IE4VyPkTOH9mRWHr,292799,4,88,17337404
33,0.505,0.657,11,-5.24,0,0.0318,0.373,0.00107,0.126,0.252,196.0,3cBsEDNhFI9E82vPj3kvi3,spotify:track:3cBsEDNhFI9E82vPj3kvi3,178520,3,83,3658864
